Rk,Name,Pos,Age,Team,Game,GS,3P%,FT%,STL,PER,TS%,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,VORP,EFF,GmSc,FG,3P,3PA,ORB,DRB,AST,BLK,PTS,last_year_salary
42,DeAndre' Bembry,G,24,ATL,42,6,0.307,0.59,55,10.3,0.487,2.5,9.2,15.4,2.5,2.1,16,17.3,-0.1,11.19047619,270.2,140,31,101,25,154,110,25,357,1634640
43,Dragan Bender,F,21,PHO,12,0,0.143,0.857,1,6.4,0.463,5.6,10.2,9.5,0.5,0.8,17.6,14.8,-0.1,2.666666667,16.5,9,2,14,5,13,7,1,26,4661280
44,Davis Bertans,F,26,SAS,39,4,0.48,0.885,18,15,0.692,2.5,9.5,8,1.2,1.6,8.6,13.7,0.9,9.153846154,250.2,99,73,152,17,112,44,14,294,7000000
45,Patrick Beverley,G,30,LAC,41,16,0.359,0.754,24,9.8,0.529,3.3,8.1,17.6,1.1,1.2,14.3,12.9,0.7,10.43902439,232.9,90,51,142,30,124,137,16,280,5027028
46,Khem Birch,C,26,ORL,17,0,0,0.813,6,14.5,0.541,8,13.8,5.3,2.2,3.1,7.7,13,0,3.529411765,42.1,13,0,1,10,24,5,5,39,0
47,Bismack Biyombo,C,26,CHO,16,4,,0.526,4,15.6,0.57,11.8,17.4,4.5,1,6.5,12.8,14.2,0.1,6.4375,62.1,26,0,0,21,40,6,14,62,17000000
48,Nemanja Bjelica,F,30,SAC,42,41,0.435,0.783,33,16.2,0.61,6.8,12.8,11.2,1.5,2.8,13.1,16.9,1.3,14.0952381,398.1,171,64,147,70,188,87,35,453,6500000
49,Antonio Blakeney,G,22,CHI,34,0,0.448,0.685,10,11.9,0.506,1,6.3,6.1,0.9,1,7.3,25.9,-0.8,6.411764706,161.3,114,30,67,5,57,19,6,295,0
50,Eric Bledsoe,G,29,MIL,41,41,0.31,0.743,57,18.1,0.57,4,7.9,27.2,2.2,1.2,14.7,22.1,1.4,16.85365854,529.7,238,58,187,44,140,230,17,618,15000000
51,Jaron Blossomgame,F,25,CLE,17,4,0.333,0.857,6,11.1,0.552,6.5,12.3,4.1,1.1,1.2,10.8,11.6,-0.1,6.470588235,68.3,29,9,27,17,45,8,4,73,
52,Bogdan Bogdanovic,G,26,SAC,30,7,0.36,0.805,27,15,0.538,1.6,6.7,20.1,1.5,0.5,10.5,23.2,0.3,14.6,321.2,164,62,172,13,96,120,5,452,9000000
53,Bojan Bogdanovic,F,29,IND,42,42,0.446,0.813,39,15.3,0.624,2.1,7.1,7.9,1.4,0,11.1,20.2,0.7,12.76190476,483.4,242,83,186,24,144,72,0,680,10500000
54,Jonah Bolden,F,23,PHI,18,2,0.167,0.438,5,9.2,0.525,8.9,13.7,6.7,1.1,4.2,21.6,14,0,5.444444444,46.7,25,4,24,18,39,11,12,61,
55,Isaac Bonga,G,19,LAL,6,0,0,0.667,3,9.8,0.322,9.6,9.3,22.9,6.3,0,17.7,21.3,0,1.833333333,5.4,2,0,1,2,2,4,0,6,
56,Devin Booker,G,22,PHO,31,31,0.326,0.843,33,19,0.563,1.9,6,34.1,1.5,0.5,14.8,32,0.7,19.09677419,514.6,272,70,215,19,96,215,6,770,3314365
57,Chris Boucher,F,26,TOR,12,0,0.471,0.75,2,31.5,0.615,15.5,17,0,1.7,18.3,5.8,26.1,0.1,4.333333333,37.8,13,8,17,8,10,0,13,40,0
58,Avery Bradley,G,28,LAC,35,35,0.292,0.824,21,5,0.446,2.3,4.4,8.7,1,1.1,13.1,14.1,-0.3,8,130.1,108,31,106,21,63,66,14,261,12000000
59,Tony Bradley,C,21,UTA,1,0,,,0,-10.5,0,24.6,18.3,0,0,0,25,19.2,0,2,-1.8,0,0,0,2,1,0,0,0,1679520
60,Mikal Bridges,F,22,PHO,43,29,0.342,0.841,60,10.5,0.541,2.5,6,8.2,2.6,1.7,9.4,12.8,0.5,9.511627907,268.5,116,55,161,25,95,67,22,324,
61,Miles Bridges,F,20,CHO,39,0,0.305,0.756,20,11.6,0.532,2.9,9.8,7.2,1.3,3,9.1,14.9,0.1,8.333333333,205,96,29,95,21,118,39,26,255,
62,Isaiah Briscoe,G,22,ORL,19,0,0.4,0.462,2,5,0.445,0.7,4.9,17.8,0.6,0,14.8,17.3,-0.3,2.526315789,21.5,18,4,10,1,13,19,0,46,
63,Ryan Broekhoff,G,28,DAL,17,0,0.333,1,1,12.3,0.599,2.2,7.9,9.1,0.5,1.6,12.2,17.1,0,2.588235294,30.2,16,9,27,2,13,6,2,43,
64,Malcolm Brogdon,G,26,MIL,38,38,0.43,0.988,23,17.7,0.633,3.8,8.1,17.1,1,0.7,12.3,20.1,1.1,14.86842105,483.3,227,61,142,39,138,134,9,596,0
65,Dillon Brooks,F,23,MEM,18,0,0.375,0.733,10,7.9,0.499,3.1,5.4,7.8,1.5,1.2,12.3,21.5,-0.3,5.888888889,63.9,49,15,40,9,22,16,4,135,1378242
66,MarShon Brooks,G,30,MEM,29,0,0.278,0.697,9,12,0.518,3.5,6.7,11.2,1.2,1,10.3,24.3,-0.3,5.275862069,111.5,76,15,54,12,33,25,4,190,1656092
