Rk,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,EFF,GmSc,last_year_salary,PID,Jersey
160,Markelle Fultz,G,20,PHI,19,15,427,65,155,0.419,4,14,0.286,61,141,0.433,0.432,21,37,0.568,26,44,70,59,17,5,25,52,155,10.6,0.452,0.09,0.239,6.7,10.7,8.8,19.9,1.9,0.9,12.7,19.4,-0.1,0.4,0.3,0.034,-3,-0.2,-3.2,-0.1,10.26315789,113.5,8339880,1628365,20
161,Danilo Gallinari,F,30,LAC,40,40,1264,237,520,0.456,96,214,0.449,141,306,0.461,0.548,208,229,0.908,39,206,245,101,28,12,53,81,778,20.3,0.627,0.412,0.44,3.4,16.6,10.3,12,1.1,0.7,7.9,22.6,4,0.9,4.9,0.184,4.5,-1.2,3.3,1.7,16.65,611.2,21587579,201568,8
162,Langston Galloway,G,27,DET,39,1,877,117,299,0.391,67,193,0.347,50,106,0.472,0.503,38,47,0.809,26,69,95,44,18,3,15,67,339,10.6,0.53,0.645,0.157,3.1,8.9,5.8,7.5,1,0.3,4.5,16.2,0.9,0.6,1.5,0.084,0.2,-1.5,-1.4,0.1,8.435897436,220.9,7000000,204038,9
163,Marc Gasol,C,34,MEM,41,41,1401,229,522,0.439,62,170,0.365,167,352,0.474,0.498,124,161,0.77,42,313,355,184,53,57,89,116,644,17.7,0.543,0.326,0.308,3.4,26.2,14.6,21.6,1.9,3.9,13.1,22.4,0.9,2.5,3.4,0.117,-0.2,3.8,3.6,2,20.75609756,565,24119025,201188,33
164,Pau Gasol,C,38,SAS,13,1,207,25,50,0.5,4,7,0.571,21,43,0.488,0.54,16,22,0.727,12,65,77,35,2,12,8,19,70,19.5,0.586,0.14,0.44,6.5,33.9,20.4,22.6,0.5,4.9,11.8,14.4,0.5,0.3,0.8,0.197,0.2,3.7,3.9,0.3,11.30769231,89.8,16800000,2200,16
165,Rudy Gay,F,32,SAS,35,32,936,190,372,0.511,39,94,0.415,151,278,0.543,0.563,56,66,0.848,35,195,230,84,31,21,53,92,475,17.9,0.592,0.253,0.177,4.2,22.5,13.5,13.5,1.6,1.9,11.7,21.4,1.3,1.2,2.5,0.13,1.1,1,2,1,15.48571429,384.3,10087200,200752,22
166,Paul George,F,28,OKC,40,40,1428,369,824,0.448,135,351,0.385,234,473,0.495,0.53,203,247,0.822,61,259,320,155,88,22,108,114,1076,23.4,0.577,0.426,0.3,4.3,19,11.6,17.3,2.9,1.3,10.4,29.6,3.3,2.9,6.2,0.207,4.2,1.4,5.6,2.8,24.525,807.9,30560700,202331,13
167,Taj Gibson,F,33,MIN,41,41,1050,179,324,0.552,11,30,0.367,168,294,0.571,0.569,61,88,0.693,109,178,287,53,34,22,41,106,430,16.9,0.593,0.093,0.272,11,18.3,14.6,7.4,1.6,1.8,10.2,16.2,2,1,3,0.138,0.7,0.7,1.4,0.9,13.29268293,396.8,14000000,201959,67
168,Harry Giles,F,20,SAC,29,0,334,70,149,0.47,0,5,0,70,144,0.486,0.47,20,34,0.588,28,65,93,38,23,10,35,68,160,13.8,0.488,0.034,0.228,8.5,20.7,14.4,16.3,3.2,2.5,17.6,24.7,-0.3,0.5,0.2,0.024,-3.7,2,-1.7,0,6.862068966,111.6,2207040,1628385,20
169,Shai Gilgeous-Alexander,G,20,LAC,41,32,1073,157,322,0.488,23,60,0.383,134,262,0.511,0.523,70,87,0.805,30,87,117,117,43,26,72,81,407,12.9,0.565,0.186,0.27,3.1,8.3,5.8,15.4,1.9,1.8,16.7,17.1,0.7,0.8,1.4,0.064,-0.4,0.5,0.1,0.6,10.02439024,323.4,3375360,1628983,2
170,Rudy Gobert,C,26,UTA,43,43,1344,237,366,0.648,0,0,,237,366,0.648,0.648,157,246,0.638,154,382,536,85,40,86,63,120,631,23.8,0.665,0,0.672,12.7,30.9,21.9,9.9,1.4,5.2,11.7,17.3,4.2,2.9,7.1,0.253,1.7,4.9,6.7,3,21.41860465,705.1,23241573,203497,27
171,Brandon Goodwin,G,23,DEN,8,0,28,3,8,0.375,2,2,1,1,6,0.167,0.5,5,5,1,0,2,2,10,0,0,2,7,13,17.4,0.637,0.25,0.625,0,7.8,3.9,47.1,0,0,16.4,18.6,0.1,0,0.1,0.245,0.8,-7,-6.2,0,1.875,11.4,,1629164,6
172,Aaron Gordon,F,23,ORL,39,39,1302,226,511,0.442,60,168,0.357,166,343,0.484,0.501,81,119,0.681,64,229,293,130,31,28,68,89,593,15,0.526,0.329,0.233,5.2,19.4,12.2,15.9,1.2,1.8,10.8,21.5,0.6,1.4,2.1,0.076,-0.4,0.9,0.5,0.8,17.94871795,462,21590909,203932,00
173,Eric Gordon,G,30,HOU,32,18,1061,178,467,0.381,82,271,0.303,96,196,0.49,0.469,63,81,0.778,13,65,78,69,16,14,48,69,501,10,0.498,0.58,0.173,1.3,7.1,4.2,10.4,0.8,1.1,8.7,22.8,0,0.2,0.2,0.009,-1.5,-3.2,-4.7,-0.7,12.15625,265.2,13500375,201569,10
174,Marcin Gortat,C,34,LAC,34,32,579,74,140,0.529,0,0,,74,140,0.529,0.529,31,39,0.795,51,146,197,55,6,20,38,73,179,13.6,0.569,0,0.279,9.8,25.7,18.1,13.1,0.5,2.6,19.5,14.3,0.6,0.6,1.2,0.099,-1.4,1.7,0.3,0.3,9.235294118,178.2,13565218,101162,13
175,Devonte' Graham,G,23,CHA,21,3,271,34,87,0.391,16,44,0.364,18,43,0.419,0.483,13,14,0.929,0,25,25,49,15,0,14,24,97,12.7,0.521,0.506,0.161,0,10,4.9,25.1,2.7,0,13.1,17,0.2,0.2,0.4,0.078,-0.7,-2,-2.7,0,5.952380952,82.5,988464,1628984,4
176,Treveon Graham,G,25,BKN,7,1,127,7,35,0.2,3,22,0.136,4,13,0.308,0.243,2,2,1,6,9,15,6,3,3,5,11,19,0.4,0.265,0.629,0.057,5.1,7.7,6.4,6.2,1.2,1.8,12.2,13.8,-0.3,0.1,-0.3,-0.101,-6.5,-0.2,-6.7,-0.2,4.571428571,4.1,1512601,1626203,21
177,Jerami Grant,F,24,OKC,41,38,1291,197,377,0.523,43,123,0.35,154,254,0.606,0.58,80,116,0.69,44,160,204,35,34,52,38,106,517,13.9,0.604,0.326,0.308,3.5,13,8.2,3.7,1.2,3.4,8.2,14.7,1.9,2,3.9,0.147,-1,1.7,0.7,0.9,12.85365854,410.8,8653847,203924,9
178,Jerian Grant,G,26,ORL,40,1,702,61,154,0.396,26,75,0.347,35,79,0.443,0.481,15,24,0.625,14,54,68,117,33,3,40,59,163,9.5,0.495,0.487,0.156,2.1,8.5,5.2,23.3,2.3,0.4,19.6,12.9,0,0.7,0.7,0.048,-2.8,-0.5,-3.3,-0.2,6.7,155.4,2639314,1626170,22
179,Danny Green,G,31,TOR,42,42,1232,145,331,0.438,91,221,0.412,54,110,0.491,0.576,16,17,0.941,41,132,173,55,38,35,46,104,397,10.9,0.586,0.668,0.051,3.7,11.3,7.6,5.9,1.5,2.3,12,13.5,0.9,1.4,2.4,0.093,0.7,1.4,2.1,1.3,11.69047619,304.6,10000000,201980,14
180,Draymond Green,F,28,GSW,28,28,876,79,190,0.416,15,62,0.242,64,128,0.5,0.455,26,33,0.788,30,194,224,191,45,27,79,95,199,12.2,0.487,0.326,0.174,3.9,23.3,13.9,27,2.5,2.6,27.9,13.9,0,1.3,1.4,0.074,-2,3.5,1.5,0.8,17.92857143,254.6,17469565,203110,23
181,Gerald Green,G,33,HOU,37,0,750,114,270,0.422,77,215,0.358,37,55,0.673,0.565,22,25,0.88,18,80,98,16,14,10,29,68,327,11.3,0.582,0.796,0.093,2.6,12.4,7.4,3.3,0.9,1.1,9.4,18.1,0.7,0.3,1,0.061,-0.2,-3.2,-3.4,-0.3,8.108108108,195,2393887,101123,14
182,JaMychal Green,F,28,MEM,29,2,679,116,229,0.507,25,64,0.391,91,165,0.552,0.561,41,52,0.788,53,141,194,24,26,19,49,89,298,15.5,0.592,0.279,0.227,8.8,24.3,16.4,5.9,1.9,2.7,16.3,20.4,0.3,1.1,1.4,0.102,-2.1,1,-1.1,0.1,12.24137931,230.6,7866667,203210,0
183,Jeff Green,F,32,WAS,41,18,1118,168,350,0.48,54,146,0.37,114,204,0.559,0.557,87,97,0.897,43,155,198,71,23,19,49,89,477,14,0.607,0.417,0.277,4.2,15.5,9.7,9,1,1.4,11.1,16.9,1.7,0.4,2.1,0.09,0.2,-1.2,-1,0.3,11.80487805,373.2,2393887,201145,32
184,Blake Griffin,F,29,DET,38,38,1366,325,684,0.475,88,243,0.362,237,441,0.537,0.539,215,287,0.749,49,266,315,200,28,17,143,106,953,20.8,0.588,0.355,0.42,3.7,22.1,12.5,25.9,1,1,15,29.6,2.3,1.5,3.8,0.134,3.8,0.7,4.4,2.2,21.84210526,684,32088932,201933,23
185,Daniel Hamilton,G,23,ATL,14,3,157,18,44,0.409,5,16,0.313,13,28,0.464,0.466,3,6,0.5,8,26,34,17,4,0,12,13,44,7.5,0.472,0.364,0.136,5.3,18,11.5,15,1.2,0,20.5,15.2,-0.1,0.1,0,-0.014,-4.7,-1.1,-5.8,-0.2,4.714285714,31.3,1349383,1627772,5
186,Tim Hardaway,G,26,NYK,39,39,1284,249,636,0.392,102,294,0.347,147,342,0.43,0.472,173,202,0.856,22,110,132,105,37,5,75,90,773,14.8,0.533,0.462,0.318,1.7,9.4,5.4,13.3,1.4,0.3,9.4,26.3,1.1,0.2,1.3,0.047,1.5,-3.4,-1.8,0.1,14.23076923,467.2,17325000,203501,3
187,James Harden,G,29,HOU,38,38,1408,376,859,0.438,187,480,0.39,189,379,0.499,0.547,358,418,0.856,27,205,232,330,76,24,215,130,1297,29.1,0.622,0.559,0.487,2.1,17,9.3,44.6,2.7,1.4,17.1,39.2,5.4,1.4,6.8,0.231,10.5,0.6,11.1,4.7,26.57894737,959.3,30431854,201935,13
188,Maurice Harkless,F,25,POR,26,19,561,62,139,0.446,16,50,0.32,46,89,0.517,0.504,13,20,0.65,25,82,107,19,23,25,15,72,153,10.7,0.518,0.36,0.144,4.8,14.9,10,4.6,2,3.6,9.2,12.4,0.3,0.8,1,0.089,-1.7,2.5,0.8,0.4,9.115384615,129.8,10837079,203090,4
189,Montrezl Harrell,C,25,LAC,41,0,1028,252,399,0.632,1,4,0.25,251,395,0.635,0.633,138,223,0.619,99,176,275,66,38,58,54,116,643,25.4,0.647,0.01,0.559,10.7,17.4,14.2,10.5,1.8,4.3,9.8,22.8,3.5,1.2,4.7,0.221,3.6,1.8,5.4,1.9,15.51219512,577,6000000,1626149,5
190,Devin Harris,G,35,DAL,30,0,456,61,155,0.394,24,87,0.276,37,68,0.544,0.471,44,54,0.815,3,47,50,34,23,6,22,46,190,11.5,0.531,0.561,0.348,0.7,10.8,5.9,11.1,2.4,1.1,11,18.7,0.2,0.6,0.7,0.078,-1.3,-0.1,-1.5,0.1,5.866666667,128.7,2393887,2734,34
191,Gary Harris,G,24,DEN,25,22,782,146,338,0.432,43,129,0.333,103,209,0.493,0.496,65,81,0.802,19,64,83,69,26,9,28,54,400,14.8,0.535,0.382,0.24,2.6,8.9,5.8,13,1.7,1,7,21.9,1.1,0.7,1.8,0.11,0.8,-1.3,-0.5,0.3,13.92,278.9,16517857,203914,14
192,Joe Harris,G,27,BKN,40,40,1176,195,385,0.506,97,201,0.483,98,184,0.533,0.632,47,56,0.839,30,114,144,95,22,7,61,114,534,14,0.652,0.522,0.145,2.7,10.6,6.6,12.4,0.9,0.5,13,17.2,2.2,0.6,2.8,0.114,2.1,-1.2,1,0.9,12.475,380.9,8333333,203925,12
193,Tobias Harris,F,26,LAC,41,41,1399,322,641,0.502,79,185,0.427,243,456,0.533,0.564,139,156,0.891,30,299,329,91,30,16,79,85,862,19,0.607,0.289,0.243,2.4,21.8,12.5,10.4,1,0.9,10,23.9,2.6,1.2,3.8,0.132,2,-0.8,1.2,1.1,19.2195122,637.9,14800000,202699,34
195,Shaquille Harrison,G,25,CHI,33,0,587,71,178,0.399,11,43,0.256,60,135,0.444,0.43,37,59,0.627,14,78,92,56,44,11,27,49,190,12,0.466,0.242,0.331,2.6,14.6,8.6,14.3,3.7,1.6,11.7,17.5,-0.4,0.8,0.4,0.03,-3.5,1.9,-1.6,0.1,7.818181818,162.5,50000,1627885,3
196,Josh Hart,G,23,LAL,43,19,1169,143,344,0.416,72,203,0.355,71,141,0.504,0.52,43,63,0.683,22,148,170,62,49,27,40,102,401,10.6,0.539,0.59,0.183,2,12.6,7.4,6.9,2,1.8,9.7,14.6,0.4,1.5,2,0.08,-0.9,1.3,0.4,0.7,11.23255814,299.7,1655160,1628404,3
197,Isaiah Hartenstein,F,20,HOU,22,0,178,17,34,0.5,2,5,0.4,15,29,0.517,0.529,11,14,0.786,17,18,35,11,4,9,12,45,47,9.8,0.585,0.147,0.412,10.5,11.8,11.1,8.9,1.1,4.3,23,12.9,0.2,0.1,0.3,0.081,-2.7,1.1,-1.6,0,3,34.1,838464,1628392,55
198,Udonis Haslem,C,38,MIA,3,0,14,2,6,0.333,0,2,0,2,4,0.5,0.333,0,0,,1,4,5,0,0,0,2,3,4,-4.5,0.333,0.333,0,7.4,30.1,18.7,0,0,0,25,24.2,-0.1,0,-0.1,-0.233,-16,-7.3,-23.4,-0.1,1.666666667,-0.7,2393887,2617,40
199,Gordon Hayward,F,28,BOS,37,16,979,146,344,0.424,48,144,0.333,98,200,0.49,0.494,73,83,0.88,33,147,180,134,36,9,54,52,413,15,0.543,0.419,0.241,3.6,16.2,9.8,19.4,1.8,0.8,12.4,19.2,1.1,1.4,2.5,0.125,0.1,0.8,0.9,0.7,13.48648649,355.1,31214295,202330,20
200,John Henson,C,28,CLE,14,0,188,31,67,0.463,11,31,0.355,20,36,0.556,0.545,6,10,0.6,16,55,71,14,7,11,12,16,79,17.4,0.553,0.463,0.149,9.3,28.7,19.6,10.2,1.7,5.1,14.4,18.7,0.1,0.4,0.6,0.147,-1.6,3.2,1.7,0.2,9.5,76.7,11327466,203089,31
201,Juan Hernangomez,F,23,DEN,39,25,1031,118,248,0.476,59,144,0.41,59,104,0.567,0.595,61,76,0.803,54,156,210,39,17,19,30,64,356,13.3,0.632,0.581,0.306,5.7,16.5,11,5,0.8,1.6,9.6,12.9,1.9,1,2.9,0.135,0.9,-0.2,0.7,0.7,11.07692308,310.2,2166360,1627823,41
202,Willy Hernangomez,C,24,CHA,33,2,450,91,177,0.514,12,25,0.48,79,152,0.52,0.548,61,84,0.726,68,108,176,33,10,12,33,58,255,22.1,0.596,0.141,0.475,16,26.1,21,11.4,1.1,2.3,13.4,23.5,1.2,0.5,1.7,0.176,1.2,-0.5,0.8,0.3,9.121212121,223.6,1544951,1626195,41
203,Mario Hezonja,F,23,NYK,36,11,652,106,265,0.4,27,93,0.29,79,172,0.459,0.451,36,54,0.667,15,105,120,34,33,5,41,60,275,10.1,0.476,0.351,0.204,2.3,17.7,9.6,8.1,2.4,0.6,12.4,21.3,-0.7,0.5,-0.3,-0.021,-3.7,-1.3,-5.1,-0.5,7.888888889,162,6500000,1626209,8
204,Buddy Hield,G,26,SAC,42,42,1314,319,668,0.478,136,306,0.444,183,362,0.506,0.579,71,83,0.855,49,156,205,95,20,15,81,103,845,17.1,0.6,0.458,0.124,3.8,12.6,8.1,10.9,0.7,1,10.3,24.8,2,0.6,2.6,0.095,3,-2.5,0.5,0.8,16.88095238,556.1,3833760,1627741,24
205,Haywood Highsmith,F,22,PHI,1,0,5,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0,0,1,0,0,0,0,3,22.8,0.75,1,0,0,0,0,31,0,0,0,16.9,0,0,0,0.276,6.7,-12.1,-5.4,0,3,2.7,,1629312,7
207,George Hill,G,32,MIL,29,13,683,86,186,0.462,22,64,0.344,64,122,0.525,0.522,34,44,0.773,23,42,65,69,25,3,26,63,228,11.7,0.555,0.344,0.237,3.7,6.4,5.1,14.2,1.8,0.4,11.2,14.7,0.8,0.4,1.2,0.082,-0.3,-1.3,-1.7,0.1,8.413793103,181.1,19000000,201588,3
208,Solomon Hill,F,27,NOP,28,10,586,40,101,0.396,18,57,0.316,22,44,0.5,0.485,12,19,0.632,25,65,90,34,16,7,21,48,110,6.8,0.503,0.564,0.188,4.7,11.5,8.2,6.9,1.3,1,16.1,9.2,0.1,0.3,0.4,0.03,-1.5,0.1,-1.4,0.1,6.571428571,94,12252928,203524,44
209,Aaron Holiday,G,22,IND,24,0,270,48,116,0.414,15,58,0.259,33,58,0.569,0.478,23,26,0.885,2,36,38,35,11,8,16,30,134,14.7,0.526,0.5,0.224,0.9,14.5,7.9,18.7,2,2.7,11.2,23.2,0.1,0.4,0.6,0.102,-0.7,0.1,-0.7,0.1,5.791666667,96.1,1911960,1628988,3
210,Jrue Holiday,G,28,NOP,42,42,1534,335,701,0.478,70,211,0.332,265,490,0.541,0.528,129,166,0.777,50,142,192,347,72,31,148,110,869,19.1,0.561,0.301,0.237,3.6,9.6,6.7,32.8,2.2,1.7,16.1,24.8,2.5,1.1,3.6,0.112,2.9,-0.4,2.5,1.8,21.4047619,719.7,25976111,201950,11
211,Justin Holiday,G,29,MEM,41,38,1379,155,412,0.376,97,276,0.351,58,136,0.426,0.494,45,50,0.9,20,156,176,88,67,23,49,82,452,10.8,0.521,0.67,0.121,1.6,12.5,7,9.5,2.4,1.5,10.1,15.6,-0.1,1.2,1.1,0.039,-0.7,0.9,0.2,0.8,13.58536585,347.3,4384616,203200,7
213,Rondae Hollis-Jefferson,F,24,BKN,34,19,816,123,304,0.405,8,33,0.242,115,271,0.424,0.418,83,126,0.659,46,150,196,65,28,18,42,68,337,12.6,0.469,0.109,0.414,6.1,20.1,13,12,1.7,1.7,10.5,21.1,-0.1,0.9,0.8,0.045,-3.8,0.9,-2.9,-0.2,11.64705882,250.3,2470357,1626178,24
214,Richaun Holmes,C,25,PHX,41,1,652,132,193,0.684,0,0,,132,193,0.684,0.684,64,89,0.719,66,117,183,34,28,48,32,101,328,23.7,0.706,0,0.461,11.3,20.6,15.9,8.4,2.1,6.2,12.1,17.6,2.1,0.8,2.9,0.214,1.6,2.5,4.1,1,9.585365854,330,1600520,1626158,21
215,Rodney Hood,G,26,CLE,35,35,970,160,358,0.447,45,117,0.385,115,241,0.477,0.51,78,87,0.897,12,75,87,69,30,4,31,82,443,13.7,0.559,0.327,0.243,1.3,9,5,11.2,1.5,0.4,7.3,19.5,1.3,-0.2,1.2,0.058,0.4,-3.1,-2.7,-0.2,10.4,301,3472887,203918,1
216,Al Horford,C,32,BOS,32,32,896,156,313,0.498,38,107,0.355,118,206,0.573,0.559,24,34,0.706,48,150,198,123,24,44,48,59,374,17.6,0.57,0.342,0.109,5.7,18.1,11.8,20.1,1.3,4.4,12.8,18.2,1.4,1.5,2.9,0.153,0.7,3.1,3.8,1.3,16.71875,361.2,28928710,201143,42
217,Danuel House,F,25,HOU,23,10,555,60,130,0.462,32,86,0.372,28,44,0.636,0.585,45,55,0.818,19,65,84,23,13,10,19,40,197,13,0.639,0.662,0.423,3.8,13.7,8.6,6.1,1.2,1.5,11,13.7,1,0.3,1.3,0.115,0.5,-0.9,-0.4,0.2,8.826086957,159.9,0,1627863,4
218,Dwight Howard,C,33,WAS,9,9,230,43,69,0.623,0,0,,43,69,0.623,0.623,29,48,0.604,24,59,83,4,7,4,16,34,115,17.8,0.638,0,0.696,11.3,28.7,19.9,2.6,1.4,1.5,15.1,19.7,0.4,0.2,0.6,0.127,-2.8,-2.4,-5.2,-0.2,13.88888889,93.8,5337000,2730,21
219,Kevin Huerter,G,20,ATL,40,24,1054,131,315,0.416,63,166,0.38,68,149,0.456,0.516,25,33,0.758,34,94,128,99,31,16,61,80,350,9.3,0.531,0.527,0.105,3.3,9.7,6.4,13.2,1.4,1.3,15.6,15.1,0.1,0.5,0.6,0.026,-1.7,-0.7,-2.4,-0.1,10.175,249.2,2250960,1628989,3
220,Chandler Hutchison,F,22,CHI,37,7,680,69,156,0.442,9,35,0.257,60,121,0.496,0.471,16,29,0.552,25,111,136,26,16,4,21,44,163,7.9,0.483,0.224,0.186,4,18,11,5.6,1.2,0.5,11.1,12.4,-0.3,0.4,0.2,0.012,-4.8,-0.3,-5.1,-0.5,6.459459459,125.4,1991520,1628990,15
221,Serge Ibaka,C,29,TOR,40,31,1123,266,498,0.534,31,106,0.292,235,392,0.599,0.565,79,98,0.806,76,217,293,60,21,56,76,123,642,19.1,0.593,0.213,0.197,7.5,20.3,14.1,8.4,0.9,4,12.3,23.7,1.6,1.6,3.2,0.138,0.1,1.1,1.2,0.9,16.275,487.5,21666667,201586,9
222,Andre Iguodala,F,35,GSW,37,11,856,73,160,0.456,28,77,0.364,45,83,0.542,0.544,23,36,0.639,26,105,131,109,29,30,31,50,197,11.9,0.56,0.481,0.225,3.4,12.9,8.3,15.7,1.6,3,15,10.4,1,0.9,1.8,0.104,-0.3,1.4,1.1,0.7,9.972972973,234,16000000,2738,9
223,Ersan Ilyasova,F,31,MIL,29,3,563,83,184,0.451,26,70,0.371,57,114,0.5,0.522,28,32,0.875,46,110,156,33,18,7,27,82,220,13.1,0.555,0.38,0.174,9,19.2,14.4,7.8,1.5,1.1,12,16.8,0.6,0.9,1.5,0.131,-0.9,0.6,-0.3,0.2,10.20689655,174.2,7000000,101141,77
224,Joe Ingles,F,31,UTA,43,43,1338,185,423,0.437,87,234,0.372,98,189,0.519,0.54,47,72,0.653,12,165,177,202,66,10,96,105,504,12.5,0.554,0.553,0.17,1,13.4,7.3,22.2,2.4,0.6,17.4,17.8,0.4,2,2.4,0.088,0.2,1.6,1.8,1.3,14.6744186,406.2,13045455,204060,2
225,Brandon Ingram,G,21,LAL,32,32,1023,201,433,0.464,17,56,0.304,184,377,0.488,0.484,102,164,0.622,26,126,152,82,20,22,80,83,521,11.7,0.516,0.129,0.379,2.7,12.3,7.6,11.6,0.9,1.7,13.7,23.7,-0.6,1.1,0.5,0.023,-3.7,-0.2,-3.9,-0.5,12.9375,309.1,5757120,1627742,14
226,Kyrie Irving,G,26,BOS,37,37,1186,321,655,0.49,95,234,0.406,226,421,0.537,0.563,100,117,0.855,44,133,177,238,60,16,94,84,837,24.3,0.592,0.357,0.179,3.9,12.1,8,34.3,2.5,1.2,11.7,29.2,3.3,1.8,5.1,0.205,6.1,0.6,6.8,2.6,21.97297297,681,20099189,202681,11
227,Jonathan Isaac,F,21,ORL,35,24,857,97,240,0.404,25,88,0.284,72,152,0.474,0.456,58,70,0.829,33,129,162,28,28,39,38,71,277,10.7,0.511,0.367,0.292,4.1,16.6,10.2,4.7,1.6,3.8,12.3,15.9,-0.2,1.1,0.9,0.05,-3.8,1.7,-2.1,0,9.742857143,213.3,4969080,1628371,1
228,Wesley Iwundu,F,24,ORL,31,12,533,50,130,0.385,10,35,0.286,40,95,0.421,0.423,40,49,0.816,11,52,63,26,11,6,21,53,150,6.8,0.495,0.269,0.377,2.2,10.8,6.4,6.9,1,0.9,12.2,14.3,-0.2,0.4,0.2,0.019,-4.7,-0.6,-5.3,-0.4,4.677419355,89.9,1378242,1628411,25
230,Frank Jackson,G,20,NOP,27,0,339,50,113,0.442,21,49,0.429,29,64,0.453,0.535,20,25,0.8,3,22,25,18,5,0,17,39,141,8.3,0.569,0.434,0.221,1,6.7,3.9,7,0.7,0,12.1,17.2,0.2,0,0.2,0.028,-1.7,-3.8,-5.5,-0.3,3.777777778,73.6,1378242,1628402,15
231,Jaren Jackson,C,19,MEM,41,39,1042,210,401,0.524,34,101,0.337,176,300,0.587,0.566,95,122,0.779,48,142,190,48,38,63,67,159,549,17.8,0.604,0.252,0.304,5.2,16,10.5,8.1,1.8,5.8,12.8,23.1,1,1.7,2.7,0.126,-0.7,2.3,1.6,0.9,12.58536585,402.8,5915040,1628991,13
232,Josh Jackson,G,21,PHX,43,11,956,158,386,0.409,31,99,0.313,127,287,0.443,0.449,60,91,0.659,29,143,172,97,44,24,101,108,407,9.6,0.478,0.256,0.236,3.4,17.2,10.2,15.4,2.2,2.1,19.2,24,-1.9,0.8,-1.2,-0.059,-5.1,0,-5.1,-0.7,9.88372093,235.3,6041520,1628367,20
233,Justin Jackson,F,23,SAC,41,3,897,110,248,0.444,49,130,0.377,61,118,0.517,0.542,36,44,0.818,24,99,123,55,18,9,18,53,305,11.1,0.57,0.524,0.177,2.7,11.7,7.1,7.8,0.9,0.9,6.3,13.2,1.1,0.4,1.5,0.082,0.2,-1.1,-0.9,0.2,8.43902439,242.3,2807880,1628382,25
234,Reggie Jackson,G,28,DET,40,40,1125,200,491,0.407,78,230,0.339,122,261,0.467,0.487,115,132,0.871,26,83,109,169,26,6,78,120,593,14.2,0.54,0.468,0.269,2.4,8.4,5.2,24,1.1,0.4,12.4,23.6,1.3,0.8,2.1,0.089,1.4,-2,-0.6,0.4,12.75,388.1,17043478,202704,1
235,LeBron James,F,34,LAL,34,34,1178,340,656,0.518,68,191,0.356,272,465,0.585,0.57,180,264,0.682,32,251,283,243,44,24,116,54,928,26.4,0.601,0.291,0.402,2.9,21.2,12.3,34.5,1.7,1.6,13.1,31.3,3.1,1.8,4.9,0.201,6,1.9,7.9,3,26.05882353,762.2,35654150,2544,23
236,Amile Jefferson,F,25,ORL,1,0,4,0,1,0,0,0,,0,1,0,0,2,2,1,1,0,1,0,0,0,0,1,2,18,0.532,0,2,26.5,0,13.5,0,0,0,0,20.8,0,0,0,0.252,0.1,-8.5,-8.4,0,1,1.6,,1628518,11
237,Jonas Jerebko,F,31,GSW,42,6,841,111,237,0.468,48,132,0.364,63,105,0.6,0.57,46,55,0.836,51,159,210,70,16,9,33,99,316,13.8,0.605,0.557,0.232,6.8,19.9,13.6,10.9,0.9,0.9,11.2,15,1.6,0.7,2.3,0.132,1.4,-0.9,0.5,0.5,10.26190476,273,2165481,201973,21
238,Alize Johnson,F,22,IND,6,0,21,1,6,0.167,0,0,,1,6,0.167,0.167,1,4,0.25,1,6,7,0,0,1,0,3,3,-1.5,0.193,0,0.667,5.5,31.1,18.7,0,0,4.3,0,16.2,-0.1,0,-0.1,-0.127,-15.6,-3.6,-19.2,-0.1,1.5,0,838464,1628993,24
239,Amir Johnson,C,31,PHI,34,2,315,48,92,0.522,8,22,0.364,40,70,0.571,0.565,19,25,0.76,23,61,84,39,10,7,30,64,123,12.9,0.597,0.239,0.272,8,20.2,14.3,17.9,1.5,1.8,22.6,17.8,0.2,0.4,0.6,0.094,-1.7,0.6,-1.1,0.1,4.882352941,96.4,2393887,101161,5
240,James Johnson,F,31,MIA,24,22,489,78,185,0.422,24,71,0.338,54,114,0.474,0.486,20,28,0.714,12,68,80,53,14,7,25,51,200,11.6,0.507,0.384,0.151,2.5,14.7,8.6,16.6,1.4,1.2,11.2,19.3,0.1,0.6,0.7,0.07,-1.7,-0.2,-1.9,0,9.625,137.9,14651700,201949,16
241,Stanley Johnson,F,22,DET,35,7,725,111,285,0.389,40,149,0.268,71,136,0.522,0.46,33,42,0.786,22,105,127,43,34,9,49,72,295,9.8,0.486,0.523,0.147,3.1,16.5,9.5,9.1,2.3,1,13.9,20.6,-0.7,0.9,0.2,0.016,-2.9,0.4,-2.5,-0.1,9,175.8,3940402,1626169,7
