Rk,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,EFF,GmSc,last_year_salary,PID,Jersey
30,Harrison Barnes,F,26,DAL,38,38,1218,230,550,0.418,99,240,0.413,131,310,0.423,0.508,130,155,0.839,30,128,158,41,31,10,52,64,689,14.4,0.557,0.436,0.282,2.7,11,7,5.5,1.2,0.7,7.8,23.4,1.3,1.1,2.3,0.092,0.1,-1.9,-1.8,0.1,13.60526316,434.5,24107258,203084,40
31,Will Barton,G,28,DEN,2,2,54,12,21,0.571,5,9,0.556,7,12,0.583,0.69,4,4,1,0,10,10,6,1,2,3,5,33,22.5,0.725,0.429,0.19,0,20.2,10,17.3,0.9,3.3,11.6,20.4,0.2,0.1,0.3,0.226,3.1,-0.3,2.8,0.1,16.5,27.7,11830358,203115,5
32,Keita Bates-Diop,F,23,MIN,2,0,18,2,8,0.25,0,4,0,2,4,0.5,0.25,0,0,,0,3,3,0,0,1,0,1,4,-1.1,0.25,0.5,0,0,18,8.9,0,0,4.7,0,18.7,-0.1,0,-0.1,-0.175,-11.9,-4.2,-16.1,-0.1,3,0.4,838464,1628966,31
33,Nicolas Batum,F,30,CHA,41,41,1260,135,296,0.456,55,139,0.396,80,157,0.51,0.549,37,43,0.86,36,175,211,139,36,17,65,74,362,11.4,0.575,0.47,0.145,3,15.1,9,14.9,1.4,1.2,17.1,12.9,0.9,0.9,1.9,0.071,-0.3,0.7,0.4,0.8,12.87804878,334.7,24000000,201587,5
34,Jerryd Bayless,G,30,MIN,6,0,57,5,21,0.238,3,11,0.273,2,10,0.2,0.31,1,3,0.333,1,4,5,10,2,0,5,5,14,1.4,0.314,0.524,0.143,1.9,7.6,4.7,23,1.7,0,18.3,20.2,-0.2,0,-0.2,-0.145,-6.8,-3.1,-9.9,-0.1,3.333333333,4.4,8575916,201573,8
35,Aron Baynes,C,32,BOS,25,9,356,47,104,0.452,12,37,0.324,35,67,0.522,0.51,31,36,0.861,39,67,106,30,4,11,18,54,137,15.2,0.572,0.356,0.346,11.6,20.3,15.9,11.6,0.5,2.8,13.1,16.8,0.7,0.5,1.2,0.163,-0.2,0.8,0.6,0.2,7.68,121.5,5193600,203382,46
36,Kent Bazemore,G,29,ATL,35,30,959,177,401,0.441,54,165,0.327,123,236,0.521,0.509,82,109,0.752,20,119,139,92,60,32,73,94,490,14.6,0.546,0.411,0.272,2.2,13.5,7.7,14.7,2.9,2.9,14,22.1,0.2,1,1.2,0.061,-0.9,0.9,0.1,0.5,13.74285714,355.2,18089887,203145,24
37,Bradley Beal,G,25,WAS,43,43,1577,391,826,0.473,108,307,0.352,283,519,0.545,0.539,160,200,0.8,44,164,208,207,56,35,114,127,1050,19.5,0.574,0.372,0.242,3,11.6,7.3,21.6,1.7,1.9,11.1,27.8,2.4,0.8,3.2,0.096,3,-1.3,1.7,1.5,20.72093023,752.8,25434263,203078,3
38,Malik Beasley,G,22,DEN,40,2,865,148,318,0.465,65,167,0.389,83,151,0.55,0.568,20,22,0.909,16,86,102,50,26,6,22,61,381,13.4,0.581,0.525,0.069,2,10.8,6.4,8.3,1.5,0.6,6.3,17.3,1.3,0.8,2.1,0.114,1,-1.5,-0.5,0.3,9.375,272.6,1773840,1627736,25
39,Michael Beasley,F,30,LAL,15,0,149,46,82,0.561,3,12,0.25,43,70,0.614,0.579,15,21,0.714,4,24,28,11,5,5,15,25,110,19.3,0.603,0.146,0.256,2.8,16,9.6,12.8,1.6,2.6,14.1,29.6,0.1,0.2,0.3,0.098,-1.6,-0.8,-2.4,0,5.533333333,69.8,3500000,201563,11
